"id","custom_date","master_development","sub_loc_1","sub_loc_2","sub_loc_3","sub_loc_4","total_sales_price_val","sales_price_sqft_unit","sales_price_sqm_unit","unit_size_sqft","unit_size_sqm","unit_type","no_beds","custom_view","maid","study","balcony","plot_size_sqft","plot_size_sqm","developer_type","floor_level","evdnc_name","comments","dev_name","unit_no","sale_sequence"
"12535691","2026-02-07","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","9250000","4575","49234","2022","187.88","Apartment","3","","NULL","NULL","NULL","0","0","NULL","3","Active Listings","Sea and Marina View | Motivated Seller | Mid Floor","Meraas","",""
"12483287","2026-01-27","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","5600000","4671","50283","1199","111.37","Apartment","2","","NULL","NULL","NULL","0","0","NULL","4","Active Listings","2 Bedroom | Waterfront | Prime Location","Meraas","",""
"12471980","2026-01-24","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","3000000","3741","40274","802","74.49","Apartment","1","","NULL","NULL","NULL","0","0","NULL","6","Active Listings","Marina View | High Floor | One of a Kind","Meraas","",""
"12466245","2026-01-23","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","5150000","3042","32734","1693","157.33","Apartment","2","","","","Y","0","0","","1","Title Deed","","Meraas","","Resale"
"12466906","2026-01-23","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","4850000","4035","43447","1202","111.63","Apartment","2","","NULL","NULL","NULL","0","0","NULL","5","Active Listings","Full Sea View | Great Layout | Prime Location","Meraas","",""
"12452010","2026-01-20","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","3200000","4000","43045","800","74.34","Apartment","1","","NULL","NULL","Y","0","0","NULL","4","Active Listings","Marina View | Exclusive | Brand New | Vacant","Meraas","",""
"12400359","2026-01-10","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","8650000","4278","46052","2022","187.83","Apartment","3","","NULL","NULL","Y","0","0","NULL","3","Active Listings","Sea and Marina View | Motivated Seller |Mid Floor","Meraas","",""
"12070876","2025-12-29","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","4500000","3753","40399","1199","111.39","Apartment","2","","NULL","NULL","Y","0","0","NULL","1","Active Listings","Skyline Sea View | Handover Soon | Genuine Resale","Meraas","",""
"12186591","2025-12-11","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","8650000","4278","46052","2022","187.83","Apartment","3","","NULL","NULL","Y","0","0","NULL","3","Active Listings","Sea and Marina View | Motivated Seller |Mid Floor","Meraas","",""
"11672240","2025-11-27","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","4500000","3753","40399","1199","111.39","Apartment","2","","NULL","NULL","Y","0","0","NULL","1","Active Listings","Resale | Beachfront Unit | Pay 50% on Completion","Meraas","",""
"12098953","2025-11-19","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","7900000","3909","42059","2021","187.83","Apartment","3","","","","Y","0","0","","4","Oqood","","Meraas","","Resale"
"12080116","2025-11-18","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","8650000","4278","46052","2022","187.83","Apartment","3","","NULL","NULL","Y","0","0","NULL","3","Active Listings","Sea and Marina View | Motivated Seller |Mid Floor","Meraas","",""
"11945510","2025-11-14","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","2300000","2926","31459","786","73.11","Apartment","1","","","","Y","0","0","","4","Oqood","","Meraas","","Resale"
"11016637","2025-11-01","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","8200000","4055","43617","2022","188","Apartment","3","","NULL","NULL","Y","0","0","NULL","","Active Listings","Exclusive | Prime Location | Ready Soon","Meraas","",""
"9080848","2025-08-27","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","3400000","2638","28371","1289","119.84","Apartment","2","","","","Y","0","0","","1","Oqood","","Meraas","","Resale"
"10353923","2025-05-28","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","2950000","3611","38816","817","76","Apartment","1","","NULL","NULL","","0","0","NULL","","Active Listings","Open Sea and Burj Khalifa View | Rarest Layout","Meraas","",""
"8983200","2025-05-23","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","2750000","3370","36237","816","75.89","Apartment","1","","","","Y","0","0","","5","Oqood","","Meraas","","Resale"
"8982014","2025-05-22","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","2300000","2871","30902","801","74.43","Apartment","1","","","","Y","0","0","","6","Oqood","","Meraas","","Resale"
"8971294","2025-05-12","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","2400000","3046","32760","788","73.26","Apartment","1","","","","Y","0","0","","4","Oqood","","Meraas","","Resale"
"10253471","2025-04-21","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","2550000","3176","34000","803","75","Apartment","1","","NULL","NULL","","0","0","NULL","","Active Listings","Marina Views | Corner Unit | Q1 25 | 50/50 PP","Meraas","",""
"10235627","2025-04-14","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","2390000","3041","32690","786","73.11","Apartment","1","","NULL","NULL","Y","0","0","NULL","4","Active Listings","Lowest Price | Handover 2025 | Corner Unit","Meraas","",""
"10231040","2025-04-12","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","2450000","3113","33562","787","73","Apartment","1","","NULL","NULL","","0","0","NULL","","Active Listings","Waterfront Apartment | Corner Unit | Handover Q4 2024","Meraas","",""
"8923485","2025-04-11","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","3480000","2905","31242","1198","111.39","Apartment","2","","","","Y","0","0","","1","Oqood","","Meraas","","Resale"
"8922537","2025-04-10","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","4150000","3450","37113","1203","111.82","Apartment","2","","","","Y","0","0","","5","Oqood","","Meraas","","Resale"
