"id","start_date","loc","sub_loc_1","sub_loc_2","sub_loc_3","sub_loc_4","annualised_rental_price","contract_rental_price","rent_price_sqft_unit","rent_price_sqm_unit","unit_size","unit_size_sqm","unit_type","beds","views","maid","study","balcony","plot_size","plot_size_sqm","dev_ref","floor_level","streetname","end_date","evdnc_name","chiller_fee","furnished","utilities","no_cheques","comments","dev_name","rent_sequence"
"25359814","2026-03-23 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","200000","200000","253","2729.63","789","73.27","Apartment","1","","","","","0","0","","","","2027-03-22 00:00:00","Rental Contracts","","","","","","Meraas","New"
"25315769","2026-03-14 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","120000","120000","150","1612.47","801","74.45","Apartment","1","","","","","0","0","","2","","2027-03-13 00:00:00","Rental Contracts","","","","","","Meraas","New"
"25339714","2026-03-10 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","240000","240000","186","2002.67","1290","119.82","Apartment","2","","","","","0","0","","2","","2027-03-09 00:00:00","Rental Contracts","","","","","","Meraas","New"
"25307806","2026-03-05 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","229685","460000","192","2064.82","1199","111.37","Apartment","2","","","","","0","0","","3","","2028-03-04 00:00:00","Rental Contracts","","","","","","Meraas","New"
"25284536","2026-02-27 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","130000","130000","162","1749.19","800","74.34","Apartment","1","","","","Y","0","0","","2","","2027-02-26 00:00:00","Rental Contracts","","","","","","Meraas","New"
"25251600","2026-02-16 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","335000","670000","198","2132.2","1693","157.33","Apartment","2","","","","Y","0","0","","1","","2028-02-15 00:00:00","Rental Contracts","","","","","","Meraas","New"
"25255508","2026-02-16 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","151676","155000","193","2075.94","788","73.26","Apartment","1","","","","Y","0","0","","4","","2027-02-23 00:00:00","Rental Contracts","","","","","","Meraas","New"
"25195189","2026-02-04 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","450000","450000","213","2287.98","2117","197","Apartment","3","","","","","0","0","","","","2026-02-04 00:00:00","Active Listings","","Yes","","","Brand New plus Maid&#039;s Room | Amazing Sea View","Meraas","NULL"
"25195202","2026-02-04 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","135000","135000","169","1814.03","801","74","Apartment","1","","","","","0","0","","","","2026-02-04 00:00:00","Active Listings","","No","","","Beachfront Living | Exclusive | Modern Layout","Meraas","NULL"
"25162266","2026-01-30 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","240000","240000","186","2003","1290","119.82","Apartment","2","","","","Y","0","0","","1","","2026-01-30 00:00:00","Active Listings","","No","","","2BR | Burj & Marina View Direct Amenities access","Meraas","NULL"
"25153705","2026-01-29 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","140000","140000","178","1917.81","787","73","Apartment","1","","","","","0","0","","","","2026-01-29 00:00:00","Active Listings","","No","","","Waterfront | Vacant and Ready | Prime Location","Meraas","NULL"
"25147435","2026-01-28 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","320000","320000","189","2033.94","1693","157.33","Apartment","2","","","","Y","0","0","","1","","2026-01-28 00:00:00","Active Listings","","No","","","Large 2BRwith maid | Sunset & Pool and Marina View","Meraas","NULL"
"25138973","2026-01-27 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","155000","155000","196","2115.75","789","73.26","Apartment","1","","","","Y","0","0","","2","","2026-01-27 00:00:00","Active Listings","","No","","","Brand New | Sea and Burj Khalifa View | Low Floor","Meraas","NULL"
"25138976","2026-01-27 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","250000","250000","194","2086.46","1290","119.82","Apartment","2","","","","Y","0","0","","2","","2026-01-27 00:00:00","Active Listings","","No","","","Corner Unit | Sea and Skyline View | Brand New","Meraas","NULL"
"25138980","2026-01-27 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","445000","445000","211","2265.78","2114","196.43","Apartment","3","","","","Y","0","0","","2","","2026-01-27 00:00:00","Active Listings","","No","","","Vacant | Burj Khalifa and Sea View | Brand New","Meraas","NULL"
"25139145","2026-01-27 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","440000","440000","218","2342.29","2022","187.88","Apartment","3","","","","Y","0","0","","2","","2026-01-27 00:00:00","Active Listings","","No","","","Luxury Living | Great Sea View | Corner Unit","Meraas","NULL"
