"id","start_date","loc","sub_loc_1","sub_loc_2","sub_loc_3","sub_loc_4","annualised_rental_price","contract_rental_price","rent_price_sqft_unit","rent_price_sqm_unit","unit_size","unit_size_sqm","unit_type","beds","views","maid","study","balcony","plot_size","plot_size_sqm","dev_ref","floor_level","streetname","end_date","evdnc_name","chiller_fee","furnished","utilities","no_cheques","comments","dev_name","rent_sequence"
"25256797","2026-03-15 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","485000","485000","208","2239.77","2330","216.54","Apartment","3","","","","Y","0","0","","4","","2027-03-14 00:00:00","Rental Contracts","","","","","","Meraas","New"
"25338487","2026-03-12 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","130000","130000","136","1468.59","953","88.52","Apartment","1","","","","","0","0","","1","","2027-03-11 00:00:00","Rental Contracts","","","","","","Meraas","New"
"25266233","2026-03-01 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","220000","220000","173","1860.47","1272","118.25","Apartment","2","","","","Y","0","0","","4","","2027-02-28 00:00:00","Rental Contracts","","","","","","Meraas","New"
"25276933","2026-02-28 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","130000","130000","165","1778.14","787","73.12","Apartment","1","","","","Y","0","0","","3","","2027-02-27 00:00:00","Rental Contracts","","","","","","Meraas","New"
"25281428","2026-02-28 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","320000","320000","157","1692.58","2035","189.15","Apartment","2","","","","Y","0","0","","5","","2027-02-27 00:00:00","Rental Contracts","","","","","","Meraas","New"
"25281520","2026-02-28 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","130000","130000","165","1777.9","787","73.12","Apartment","1","","","","Y","0","0","","3","","2027-02-27 00:00:00","Rental Contracts","","","","","","Meraas","New"
"25291150","2026-02-24 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","125000","125000","156","1683.73","799","74.24","Apartment","1","","","","Y","0","0","","1","","2027-02-23 00:00:00","Rental Contracts","","","","","","Meraas","New"
"25274575","2026-02-23 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","135000","135000","166","1783.59","814","75.69","Apartment","1","","","","Y","0","0","","3","","2027-02-22 00:00:00","Rental Contracts","","","","","","Meraas","New"
"25275960","2026-02-20 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","130000","130000","165","1774.26","788","73.27","Apartment","1","","","","Y","0","0","","3","","2027-02-19 00:00:00","Rental Contracts","","","","","","Meraas","New"
"24659910","2026-02-04 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","135000","135000","172","1846.28","787","73.12","Apartment","1","","","","Y","0","0","","2","","2026-02-04 00:00:00","Active Listings","","No","","","Premium Apartment | Unfurnished | Stunning Pool View","Meraas","NULL"
"25183515","2026-02-03 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","140000","140000","172","1849.65","815","75.69","Apartment","1","","","","Y","0","0","","1","","2026-02-03 00:00:00","Active Listings","","No","","","1 BR | Direct Marina & Pool Access | Large Terrace","Meraas","NULL"
