"id","custom_date","master_development","sub_loc_1","sub_loc_2","sub_loc_3","sub_loc_4","total_sales_price_val","sales_price_sqft_unit","sales_price_sqm_unit","unit_size_sqft","unit_size_sqm","unit_type","no_beds","custom_view","maid","study","balcony","plot_size_sqft","plot_size_sqm","developer_type","floor_level","evdnc_name","comments","dev_name","unit_no","sale_sequence"
"12581340","2026-03-12","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","4600000","3686","39669","1248","115.96","Apartment","2","","","","Y","0","0","","4","Title Deed","","Meraas","","Resale"
"12573915","2026-03-06","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2800000","3549","38215","789","73.27","Apartment","1","","","","","0","0","","4","Title Deed","","Meraas","","Resale"
"12498111","2026-01-30","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2400000","3004","32306","799","74.29","Apartment","1","","","","Y","0","0","","6","Title Deed","","Meraas","","Resale"
"12473292","2026-01-24","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2300000","2882","31035","798","74.11","Apartment","1","","NULL","NULL","NULL","0","0","NULL","4","Active Listings","Marina View | Exclusive | Brand New | Vacant","Meraas","",""
"12466084","2026-01-23","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2150000","2691","28960","799","74.24","Apartment","1","","","","Y","0","0","","1","Title Deed","","Meraas","","Resale"
"12415963","2026-01-14","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2250000","2363","25418","952","88.52","Apartment","1","","","","Y","0","0","","1","Title Deed","","Meraas","","Resale"
"12381226","2026-01-06","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","3100000","3934","42367","788","73.17","Apartment","1","","NULL","NULL","Y","0","0","NULL","4","Active Listings","Exclusive | Burj Skyline | Sea View","Meraas","",""
"11652719","2025-12-20","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2568000","3263","35135","787","73.09","Apartment","1","","NULL","NULL","Y","0","0","NULL","3","Active Listings","Exclusive | Pool and Sea View | Handover Soon","Meraas","",""
"12221182","2025-12-17","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2400000","3004","32306","799","74.29","Apartment","1","","NULL","NULL","Y","0","0","NULL","6","Active Listings","Investor Deal | Luxury | Beach Access","Meraas","",""
"12213963","2025-12-16","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2200000","2753","29634","799","74.24","Apartment","1","","NULL","NULL","Y","0","0","NULL","1","Active Listings","Stunning Off-Plan Unit | Completion Q1 2026","Meraas","",""
"12198532","2025-12-14","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2399000","2520","27101","952","88.52","Apartment","1","","NULL","NULL","Y","0","0","NULL","1","Active Listings","Largest Layout I J1 Views I Handover Jan 2026","Meraas","",""
"12195450","2025-12-12","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2400000","2521","27113","952","88.52","Apartment","1","","NULL","NULL","Y","0","0","NULL","1","Active Listings","NEW UNIT | DUBAI SKYLINE | HUGE TERRACE","Meraas","",""
"10945369","2025-12-03","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2500000","3185","34289","785","72.91","Apartment","1","","NULL","NULL","Y","0","0","NULL","4","Active Listings","Exclusive I Pool/ Water View I Luxury 1BR","Meraas","",""
"10951052","2025-12-01","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2150000","2691","28960","799","74.24","Apartment","1","","NULL","NULL","Y","0","0","NULL","1","Active Listings","Your Opportunity. Own a piece of waterfront living","Meraas","",""
"11773061","2025-11-29","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2800000","3553","38267","788","73.17","Apartment","1","","NULL","NULL","Y","0","0","NULL","4","Active Listings","Exclusive | One of a Kind | Full Burj and Sea View","Meraas","",""
"12068855","2025-11-18","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2350000","2997","32258","784","72.85","Apartment","1","","NULL","NULL","Y","0","0","NULL","1","Active Listings","Exclusive | Motivated Seller | High ROI","Meraas","",""
"11915298","2025-11-05","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2700000","3317","35714","814","75.6","Apartment","1","","NULL","NULL","Y","0","0","NULL","3","Active Listings","Brand New Apt | Pool and Sea View | Exclusive","Meraas","",""
"11806209","2025-11-04","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","5050000","4219","45418","1197","111.19","Apartment","2","","NULL","NULL","Y","0","0","NULL","5","Active Listings","Sea View | High Floor | Corner Unit | Payment Plan","Meraas","",""
"11776142","2025-11-04","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2150000","2691","28960","799","74.24","Apartment","1","","NULL","NULL","Y","0","0","NULL","1","Active Listings","Waterfront Living | Exclusive | Prime Location","Meraas","",""
"10855147","2025-10-23","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","5050000","4219","45418","1197","111.19","Apartment","2","","NULL","NULL","Y","0","0","NULL","5","Active Listings","Sea View | High Floor | Corner Unit | Payment Plan","Meraas","",""
"11784512","2025-10-21","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2250000","2816","30311","799","74.23","Apartment","1","","","","Y","0","0","","3","Oqood","","Meraas","","Resale"
"11784638","2025-10-21","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2250000","2816","30299","799","74.26","Apartment","1","","","","Y","0","0","","3","Oqood","","Meraas","","Resale"
"12616141","2025-10-17","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","21500000","26909","290541","799","74","Apartment","1","","NULL","NULL","NULL","0","0","NULL","","Active Listings","Waterfront Living | Exclusive | Prime Location","Meraas","",""
"11530086","2025-10-16","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2800000","3553","38267","788","73.17","Apartment","1","","NULL","NULL","Y","0","0","NULL","4","Active Listings","Exclusive | One of a Kind | Full Burj and Sea View","Meraas","",""
"10443497","2025-10-02","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2400000","3004","32432","799","74","Apartment","1","","NULL","NULL","","0","0","NULL","","Active Listings","Exclusive | Resale Apartment | Le Ciel T3","Meraas","",""
"10888879","2025-09-28","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","3100000","3808","41005","814","75.6","Apartment","1","","NULL","NULL","Y","0","0","NULL","4","Active Listings","1-Bedroom  | Marina Views| high floor | big layout","Meraas","",""
"10956995","2025-09-27","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2285880","2861","30890","799","74","Apartment","1","","NULL","NULL","","0","0","NULL","","Active Listings","Exclusive Unit | Best Price | Prime Location","Meraas","",""
"10957007","2025-09-27","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2287170","2863","30908","799","74","Apartment","1","","NULL","NULL","","0","0","NULL","","Active Listings","Luxurious Unit | Prime Location | Exclusive","Meraas","",""
"10963529","2025-09-14","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2800000","3544","38356","790","73","Apartment","1","","NULL","NULL","","0","0","NULL","","Active Listings","Exclusive | One of a Kind | Full Burj and Sea View","Meraas","",""
"9082171","2025-08-28","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","3300000","2437","26215","1354","125.88","Apartment","2","","","","Y","0","0","","1","Oqood","","Meraas","","Resale"
"9074771","2025-08-21","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2300000","2829","30423","813","75.6","Apartment","1","","","","Y","0","0","","1","Oqood","","Meraas","","Resale"
"10935374","2025-08-20","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2450000","3010","32407","814","75.6","Apartment","1","","NULL","NULL","Y","0","0","NULL","1","Active Listings","Coastal Living | Water View | Exclusive","Meraas","",""
"10936362","2025-08-15","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2400000","2948","31746","814","75.6","Apartment","1","","NULL","NULL","Y","0","0","NULL","1","Active Listings","Sea View | Handover Soon | Near to Yacht Club","Meraas","",""
"10936705","2025-08-15","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2399999","2948","31746","814","75.6","Apartment","1","","NULL","NULL","Y","0","0","NULL","1","Active Listings","Waterfront | 1BR | Sea View | La Mer","Meraas","",""
"10958140","2025-08-14","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2300000","2833","30667","812","75","Apartment","1","","NULL","NULL","","0","0","NULL","","Active Listings","Charming 1-Bedroom | Marina View | Port de La Mer","Meraas","",""
"10892961","2025-08-14","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2800000","3553","38267","788","73.17","Apartment","1","","NULL","NULL","Y","0","0","NULL","4","Active Listings","EXCLUSIVE | RARE UNIT | STUNNING BURJ AND SEA VIEW","Meraas","",""
"10857193","2025-08-14","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2900000","3563","38360","814","75.6","Apartment","1","","NULL","NULL","Y","0","0","NULL","4","Active Listings","Full Sea View | High Floor | Payment Plan","Meraas","",""
"10814116","2025-08-08","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2500000","3185","34289","785","72.91","Apartment","1","","NULL","NULL","Y","0","0","NULL","4","Active Listings","Exclusive I Pool/ Water View I Luxury 1BR","Meraas","",""
"10779231","2025-08-04","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","3700000","2733","29365","1354","126","Apartment","2","","NULL","NULL","","0","0","NULL","","Active Listings","Burj Khalifa View | Large terrace | Podium level","Meraas","",""
"10724289","2025-07-19","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2400000","3004","32432","799","74","Apartment","1","","NULL","NULL","","0","0","NULL","","Active Listings","Sea View| Prime Coastal Address | Prestigious Unit","Meraas","",""
"10720115","2025-07-17","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2285000","2860","30783","799","74.23","Apartment","1","","NULL","NULL","Y","0","0","NULL","3","Active Listings","Prime Location | EXCLUSIVE | Best Price","Meraas","",""
"10721010","2025-07-17","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2287170","2863","30799","799","74.26","Apartment","1","","NULL","NULL","Y","0","0","NULL","3","Active Listings","EXCLUSIVE | Luxurious Unit | Prime Location","Meraas","",""
"9034367","2025-07-16","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2100000","2628","28268","799","74.29","Apartment","1","","","","Y","0","0","","6","Oqood","","Meraas","","Resale"
"10703522","2025-07-13","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2800000","3553","38267","788","73.17","Apartment","1","","NULL","NULL","Y","0","0","NULL","4","Active Listings","EXCLUSIVE | RARE UNIT | STUNNING BURJ AND SEA VIEW","Meraas","",""
"10700251","2025-07-12","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2500000","3185","34289","785","72.91","Apartment","1","","NULL","NULL","Y","0","0","NULL","4","Active Listings","Exclusive I Pool/ Water View I Luxury 1BR","Meraas","",""
"10696837","2025-07-11","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2287170","2863","30799","799","74.26","Apartment","1","","NULL","NULL","Y","0","0","NULL","3","Active Listings","Luxurious Unit | Prime Location | EXCLUSIVE","Meraas","",""
"10633319","2025-06-20","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2285000","2860","30783","799","74.23","Apartment","1","","NULL","NULL","Y","0","0","NULL","3","Active Listings","Prime Location | EXCLUSIVE | Best Price","Meraas","",""
"10405764","2025-06-15","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2500000","3185","34289","785","72.91","Apartment","1","","NULL","NULL","Y","0","0","NULL","4","Active Listings","Exclusive I Pool/ Water View I Luxury 1BR","Meraas","",""
"10359604","2025-05-30","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2800000","3122","33735","897","83","Apartment","1","","NULL","NULL","","0","0","NULL","","Active Listings","With Payment Plan |  50% Paid | Sea View","Meraas","",""
"8986230","2025-05-27","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2600000","3308","35573","786","73.09","Apartment","1","","","","Y","0","0","","6","Oqood","","Meraas","","Resale"
"8982464","2025-05-22","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2500000","3075","33069","813","75.6","Apartment","1","","","","Y","0","0","","4","Oqood","","Meraas","","Resale"
"10319544","2025-05-16","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2500000","3185","34289","785","72.91","Apartment","1","","NULL","NULL","Y","0","0","NULL","4","Active Listings","Exclusive I Pool/ Water View I Luxury 1BR","Meraas","",""
"10302081","2025-05-09","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2700000","3317","35526","814","76","Apartment","1","","NULL","NULL","","0","0","NULL","","Active Listings","Modern and Unique Layout with Stunning Views","Meraas","",""
"8965034","2025-05-05","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","4650000","3399","36580","1368","127.12","Apartment","2","","","","Y","0","0","","6","Oqood","","Meraas","","Resale"
"8960549","2025-04-30","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2974000","2487","26747","1196","111.19","Apartment","2","","","","Y","0","0","","5","Oqood","","Meraas","","Resale"
"10277692","2025-04-30","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2285880","2861","30795","799","74.23","Apartment","1","","NULL","NULL","Y","0","0","NULL","3","Active Listings","Prime Location | EXCLUSIVE | Best Price","Meraas","",""
"8951587","2025-04-28","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","3925000","3145","33848","1248","115.96","Apartment","2","","","","Y","0","0","","4","Oqood","","Meraas","","Resale"
"8949134","2025-04-24","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2240000","2857","30723","784","72.91","Apartment","1","","","","Y","0","0","","3","Oqood","","Meraas","","Resale"
"10255691","2025-04-23","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2400000","3015","32432","796","74","Apartment","1","","NULL","NULL","","0","0","NULL","","Active Listings","Ready Q4 2025  | Genuine Resale | One Bedroom","Meraas","",""
"10243596","2025-04-17","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","4000000","2924","31466","1368","127.12","Apartment","2","","NULL","NULL","Y","0","0","NULL","6","Active Listings","Modern Finishes | Stylish Interior | Best Layout","Meraas","",""
"10240678","2025-04-16","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","3900000","2878","30952","1355","126","Apartment","2","","NULL","NULL","","0","0","NULL","","Active Listings","Seafront Lifestyle | Marina Living | Premium Area","Meraas","",""
"10229363","2025-04-10","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2665140","3274","35253","814","75.6","Apartment","1","","NULL","NULL","Y","0","0","NULL","3","Active Listings","EXCLUSIVE | Luxurious 1 BR | Best Price","Meraas","",""
"10213046","2025-04-03","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2267820","2889","31104","785","72.91","Apartment","1","","NULL","NULL","Y","0","0","NULL","3","Active Listings","EXCLUSIVE | Prime Location | Best Price | Corner","Meraas","",""
"10193704","2025-03-28","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","4000000","2924","31466","1368","127.12","Apartment","2","","NULL","NULL","Y","0","0","NULL","6","Active Listings","Modern Finishes | Stylish Interior | Best Layout","Meraas","",""
"10192812","2025-03-26","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2665140","3274","35253","814","75.6","Apartment","1","","NULL","NULL","Y","0","0","NULL","3","Active Listings","EXCLUSIVE | Best Price | Luxurious 1BR","Meraas","",""
"10197206","2025-03-26","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2285880","2861","30795","799","74.23","Apartment","1","","NULL","NULL","Y","0","0","NULL","3","Active Listings","Prime Location | EXCLUSIVE | Best Price","Meraas","",""
