"id","start_date","loc","sub_loc_1","sub_loc_2","sub_loc_3","sub_loc_4","annualised_rental_price","contract_rental_price","rent_price_sqft_unit","rent_price_sqm_unit","unit_size","unit_size_sqm","unit_type","beds","views","maid","study","balcony","plot_size","plot_size_sqm","dev_ref","floor_level","streetname","end_date","evdnc_name","chiller_fee","furnished","utilities","no_cheques","comments","dev_name","rent_sequence"
"25359814","2026-03-23 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","200000","200000","253","2729.63","789","73.27","Apartment","1","","","","","0","0","","","","2027-03-22 00:00:00","Rental Contracts","","","","","","Meraas","New"
"25256797","2026-03-15 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","485000","485000","208","2239.77","2330","216.54","Apartment","3","","","","Y","0","0","","4","","2027-03-14 00:00:00","Rental Contracts","","","","","","Meraas","New"
"25315769","2026-03-14 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","120000","120000","150","1612.47","801","74.45","Apartment","1","","","","","0","0","","2","","2027-03-13 00:00:00","Rental Contracts","","","","","","Meraas","New"
"25338487","2026-03-12 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","130000","130000","136","1468.59","953","88.52","Apartment","1","","","","","0","0","","1","","2027-03-11 00:00:00","Rental Contracts","","","","","","Meraas","New"
"25339714","2026-03-10 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","240000","240000","186","2002.67","1290","119.82","Apartment","2","","","","","0","0","","2","","2027-03-09 00:00:00","Rental Contracts","","","","","","Meraas","New"
"25307806","2026-03-05 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","229685","460000","192","2064.82","1199","111.37","Apartment","2","","","","","0","0","","3","","2028-03-04 00:00:00","Rental Contracts","","","","","","Meraas","New"
"25266226","2026-03-01 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 1","","250000","250000","180","1939.64","1387","128.89","Apartment","2","","","","Y","0","0","","4","","2027-02-28 00:00:00","Rental Contracts","","","","","","Meraas","New"
"25266233","2026-03-01 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","220000","220000","173","1860.47","1272","118.25","Apartment","2","","","","Y","0","0","","4","","2027-02-28 00:00:00","Rental Contracts","","","","","","Meraas","New"
"25276933","2026-02-28 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","130000","130000","165","1778.14","787","73.12","Apartment","1","","","","Y","0","0","","3","","2027-02-27 00:00:00","Rental Contracts","","","","","","Meraas","New"
"25281428","2026-02-28 00:00:00","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","320000","320000","157","1692.58","2035","189.15","Apartment","2","","","","Y","0","0","","5","","2027-02-27 00:00:00","Rental Contracts","","","","","","Meraas","New"
