"id","custom_date","master_development","sub_loc_1","sub_loc_2","sub_loc_3","sub_loc_4","total_sales_price_val","sales_price_sqft_unit","sales_price_sqm_unit","unit_size_sqft","unit_size_sqm","unit_type","no_beds","custom_view","maid","study","balcony","plot_size_sqft","plot_size_sqm","developer_type","floor_level","evdnc_name","comments","dev_name","unit_no","sale_sequence"
"12582402","2026-03-13","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 1","","2000000","735","7909","2722","252.89","Apartment","4","","","","Y","0","0","","8","Title Deed","","Meraas","","Resale"
"12582302","2026-03-13","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 1","","17500000","4503","48468","3886","361.06","Apartment","4","","","","Y","0","0","","5","Title Deed","","Meraas","","Resale"
"12581340","2026-03-12","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","4600000","3686","39669","1248","115.96","Apartment","2","","","","Y","0","0","","4","Title Deed","","Meraas","","Resale"
"12578008","2026-03-09","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 1","","4990000","3917","42167","1274","118.34","Apartment","2","","","","","0","0","","4","Title Deed","","Meraas","","Resale"
"12573915","2026-03-06","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2800000","3549","38215","789","73.27","Apartment","1","","","","","0","0","","4","Title Deed","","Meraas","","Resale"
"12576549","2026-03-02","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 1","","5000000","4156","44743","1203","111.75","Apartment","2","","","","","0","0","","7","Title Deed","","Meraas","","Resale"
"12563084","2026-02-20","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 1","","4900000","3400","36589","1441","133.92","Apartment","2","","","","Y","0","0","","3","Title Deed","","Meraas","","Resale"
"12562923","2026-02-20","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 1","","4750000","3952","42506","1202","111.75","Apartment","2","","","","Y","0","0","","2","Title Deed","","Meraas","","Resale"
"12552258","2026-02-18","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 1","","4575000","3594","38660","1273","118.34","Apartment","2","","","","Y","0","0","","5","Title Deed","","Meraas","","Resale"
"12551905","2026-02-18","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 1","","4850000","4035","43400","1202","111.75","Apartment","2","","","","Y","0","0","","4","Title Deed","","Meraas","","Resale"
